// trade log:
trade 133: size: -20, entry: 5236.22998046875 at tick 1244, exit: 5235.740234375 at tick 1244, pnl: 9.794921875
trade 134: size: -20, entry: 5236.25 at tick 1246, exit: 5235.72998046875 at tick 1248, pnl: 10.400390625
trade 135: size: -20, entry: 5236.740234375 at tick 1254, exit: 5236.22998046875 at tick 1254, pnl: 10.205078125
trade 136: size: -20, entry: 5234.5 at tick 1278, exit: 5234.990234375 at tick 1281, pnl: -9.8046875
trade 137: size: -20, entry: 5235.990234375 at tick 1283, exit: 5235.990234375 at tick 1284, pnl: -0
trade 138: size: -20, entry: 5237.5 at tick 1291, exit: 5235.72998046875 at tick 1300, pnl: 35.400390625
trade 139: size: -20, entry: 5235.97998046875 at tick 1307, exit: 5235.740234375 at tick 1311, pnl: 4.794921875
trade 140: size: -20, entry: 5236 at tick 1321, exit: 5235.5 at tick 1322, pnl: 10
trade 141: size: -20, entry: 5235.97998046875 at tick 1339, exit: 5235.72998046875 at tick 1342, pnl: 5
trade 142: size: -20, entry: 5236.47998046875 at tick 1345, exit: 5236.97998046875 at tick 1346, pnl: -10
trade 143: size: -20, entry: 5237 at tick 1354, exit: 5237.47998046875 at tick 1356, pnl: -9.599609375
trade 144: size: -20, entry: 5237.25 at tick 1375, exit: 5237.72998046875 at tick 1376, pnl: -9.599609375
trade 145: size: -20, entry: 5238.47998046875 at tick 1378, exit: 5237.97998046875 at tick 1380, pnl: 10
trade 146: size: -20, entry: 5238 at tick 1395, exit: 5237.490234375 at tick 1397, pnl: 10.1953125
trade 147: size: -20, entry: 5237.72998046875 at tick 1407, exit: 5237.5 at tick 1408, pnl: 4.599609375
trade 148: size: -20, entry: 5237.740234375 at tick 1411, exit: 5237.5 at tick 1413, pnl: 4.8046875
trade 149: size: -20, entry: 5237.990234375 at tick 1418, exit: 5237.47998046875 at tick 1419, pnl: 10.205078125
trade 150: size: -20, entry: 5236.240234375 at tick 1436, exit: 5235.990234375 at tick 1436, pnl: 5
