// trade log:
trade 184: size: -100, entry: 4158.35986328125 at tick 1258, exit: 4158.60986328125 at tick 1258, pnl: -25
trade 185: size: -100, entry: 4160.1201171875 at tick 1273, exit: 4159.8798828125 at tick 1273, pnl: 24.0234375
trade 186: size: -100, entry: 4160.60986328125 at tick 1279, exit: 4161.35986328125 at tick 1280, pnl: -75
trade 187: size: -100, entry: 4161.85986328125 at tick 1288, exit: 4162.1201171875 at tick 1289, pnl: -26.025390625
trade 188: size: -100, entry: 4162.6298828125 at tick 1294, exit: 4162.8701171875 at tick 1295, pnl: -24.0234375
trade 189: size: -100, entry: 4162.10986328125 at tick 1314, exit: 4161.8798828125 at tick 1315, pnl: 22.998046875
trade 190: size: -100, entry: 4162.6201171875 at tick 1318, exit: 4162.35986328125 at tick 1321, pnl: 26.025390625
trade 191: size: -100, entry: 4161.8798828125 at tick 1336, exit: 4162.6298828125 at tick 1337, pnl: -75
trade 192: size: -100, entry: 4162.60986328125 at tick 1345, exit: 4162.60986328125 at tick 1346, pnl: -0
trade 193: size: -100, entry: 4162.8701171875 at tick 1361, exit: 4163.1298828125 at tick 1362, pnl: -25.9765625
trade 194: size: -100, entry: 4162.85986328125 at tick 1369, exit: 4163.1201171875 at tick 1370, pnl: -26.025390625
trade 195: size: -100, entry: 4163.35986328125 at tick 1373, exit: 4163.3798828125 at tick 1374, pnl: -2.001953125
trade 196: size: -100, entry: 4163.60986328125 at tick 1381, exit: 4163.60986328125 at tick 1381, pnl: -0
trade 197: size: -100, entry: 4163.8701171875 at tick 1383, exit: 4163.85986328125 at tick 1385, pnl: 1.025390625
trade 198: size: -100, entry: 4164.10986328125 at tick 1387, exit: 4164.6201171875 at tick 1388, pnl: -51.025390625
trade 199: size: -100, entry: 4164.6298828125 at tick 1406, exit: 4164.6201171875 at tick 1407, pnl: 0.9765625
trade 200: size: -100, entry: 4164.6201171875 at tick 1417, exit: 4164.8798828125 at tick 1418, pnl: -25.9765625
trade 201: size: -100, entry: 4165.60986328125 at tick 1441, exit: 4165.8701171875 at tick 1442, pnl: -26.025390625
trade 202: size: -100, entry: 4165.60986328125 at tick 1445, exit: 4165.6298828125 at tick 1446, pnl: -2.001953125
trade 203: size: -100, entry: 4166.35986328125 at tick 1452, exit: 4166.35986328125 at tick 1453, pnl: -0
trade 204: size: -100, entry: 4165.10986328125 at tick 1467, exit: 4165.3701171875 at tick 1468, pnl: -26.025390625
trade 205: size: -100, entry: 4164.8701171875 at tick 1472, exit: 4165.1298828125 at tick 1473, pnl: -25.9765625
trade 206: size: -100, entry: 4166.60986328125 at tick 1510, exit: 4167.60986328125 at tick 1511, pnl: -100
trade 207: size: -100, entry: 4167.3798828125 at tick 1519, exit: 4167.1201171875 at tick 1519, pnl: 25.9765625
trade 208: size: -100, entry: 4167.3798828125 at tick 1522, exit: 4167.3701171875 at tick 1523, pnl: 0.9765625
trade 209: size: -100, entry: 4167.35986328125 at tick 1528, exit: 4166.8798828125 at tick 1528, pnl: 47.998046875
trade 210: size: -100, entry: 4166.8701171875 at tick 1560, exit: 4165.8798828125 at tick 1561, pnl: 99.0234375
trade 211: size: -100, entry: 4166.85986328125 at tick 1566, exit: 4166.10986328125 at tick 1583, pnl: 75
trade 212: size: -100, entry: 4166.85986328125 at tick 1598, exit: 4167.10986328125 at tick 1599, pnl: -25
trade 213: size: -100, entry: 4168.8701171875 at tick 1605, exit: 4168.85986328125 at tick 1606, pnl: 1.025390625
trade 214: size: -100, entry: 4169.1298828125 at tick 1611, exit: 4169.1201171875 at tick 1611, pnl: 0.9765625
trade 215: size: -100, entry: 4168.8701171875 at tick 1616, exit: 4169.1298828125 at tick 1617, pnl: -25.9765625
trade 216: size: -100, entry: 4168.1298828125 at tick 1622, exit: 4168.6298828125 at tick 1622, pnl: -50
trade 217: size: -100, entry: 4171.6298828125 at tick 1631, exit: 4172.3701171875 at tick 1631, pnl: -74.0234375
trade 218: size: -100, entry: 4168.1298828125 at tick 1642, exit: 4166.3701171875 at tick 1643, pnl: 175.9765625
trade 219: size: -100, entry: 4167.1298828125 at tick 1645, exit: 4166.3798828125 at tick 1647, pnl: 75
trade 220: size: -100, entry: 4165.3798828125 at tick 1655, exit: 4165.8701171875 at tick 1655, pnl: -49.0234375
trade 221: size: -100, entry: 4166.3798828125 at tick 1661, exit: 4166.1298828125 at tick 1661, pnl: 25
trade 222: size: -100, entry: 4166.1298828125 at tick 1667, exit: 4166.10986328125 at tick 1667, pnl: 2.001953125
trade 223: size: -100, entry: 4165.6298828125 at tick 1672, exit: 4166.10986328125 at tick 1673, pnl: -47.998046875
trade 224: size: -100, entry: 4163.8701171875 at tick 1676, exit: 4163.6201171875 at tick 1678, pnl: 25
trade 225: size: -100, entry: 4162.3798828125 at tick 1688, exit: 4161.6201171875 at tick 1689, pnl: 75.9765625
trade 226: size: -100, entry: 4162.6201171875 at tick 1691, exit: 4163.3798828125 at tick 1692, pnl: -75.9765625
trade 227: size: -100, entry: 4162.10986328125 at tick 1715, exit: 4160.6201171875 at tick 1717, pnl: 148.974609375
trade 228: size: -100, entry: 4160.35986328125 at tick 1736, exit: 4160.60986328125 at tick 1737, pnl: -25
trade 229: size: -100, entry: 4161.3701171875 at tick 1742, exit: 4161.3798828125 at tick 1743, pnl: -0.9765625
trade 230: size: -100, entry: 4162.3798828125 at tick 1745, exit: 4161.60986328125 at tick 1746, pnl: 77.001953125
trade 231: size: -100, entry: 4160.60986328125 at tick 1751, exit: 4160.8798828125 at tick 1752, pnl: -27.001953125
trade 232: size: -100, entry: 4160.1298828125 at tick 1757, exit: 4160.3798828125 at tick 1758, pnl: -25
trade 233: size: -100, entry: 4160.3798828125 at tick 1768, exit: 4160.6201171875 at tick 1768, pnl: -24.0234375
trade 234: size: -100, entry: 4161.85986328125 at tick 1779, exit: 4162.1298828125 at tick 1780, pnl: -27.001953125
trade 235: size: -100, entry: 4163.3701171875 at tick 1782, exit: 4163.6201171875 at tick 1782, pnl: -25
trade 236: size: -100, entry: 4162.35986328125 at tick 1797, exit: 4161.85986328125 at tick 1797, pnl: 50
trade 237: size: -100, entry: 4159.3701171875 at tick 1821, exit: 4158.8701171875 at tick 1821, pnl: 50
trade 238: size: -100, entry: 4159.10986328125 at tick 1824, exit: 4159.6201171875 at tick 1824, pnl: -51.025390625
trade 239: size: -100, entry: 4159.8701171875 at tick 1826, exit: 4159.8701171875 at tick 1827, pnl: -0
trade 240: size: -100, entry: 4160.3798828125 at tick 1838, exit: 4160.35986328125 at tick 1839, pnl: 2.001953125
trade 241: size: -100, entry: 4160.1201171875 at tick 1842, exit: 4159.1201171875 at tick 1846, pnl: 100
trade 242: size: -100, entry: 4161.35986328125 at tick 1850, exit: 4161.85986328125 at tick 1851, pnl: -50
trade 243: size: -100, entry: 4163.3798828125 at tick 1881, exit: 4164.10986328125 at tick 1882, pnl: -72.998046875
trade 244: size: -100, entry: 4161.8798828125 at tick 1893, exit: 4160.6298828125 at tick 1895, pnl: 125
trade 245: size: -100, entry: 4160.8701171875 at tick 1903, exit: 4161.35986328125 at tick 1904, pnl: -48.974609375
trade 246: size: -100, entry: 4159.6298828125 at tick 1914, exit: 4160.1298828125 at tick 1915, pnl: -50
trade 247: size: -100, entry: 4159.1201171875 at tick 1933, exit: 4159.10986328125 at tick 1934, pnl: 1.025390625
